DateTime,Open,High,Low,Close,Ticks(from bar),Volume(from bar),Delta_Close,Delta_Close,"Delta, %"
2025-10-28 1:00,6905.25,6906.5,6902.75,6904,2456,3044,-380,-380,-12.48357424
2025-10-28 1:30,6904,6906.5,6902.25,6904.75,2001,2341,-251,-251,-10.72191371
2025-10-28 2:00,6905,6907.25,6903.5,6906.5,2174,2575,17,17,0.660194175
2025-10-28 2:30,6906.5,6909.75,6903.75,6903.75,2544,2945,15,15,0.509337861
2025-10-28 3:00,6904,6908.75,6903.5,6907.75,3755,4422,26,26,0.587969245
2025-10-28 3:30,6907.75,6908.25,6902.25,6903.5,2970,3653,-173,-173,-4.735833561
2025-10-28 4:00,6903.75,6905.25,6901.75,6903.25,6196,7720,64,64,0.829015544
2025-10-28 4:30,6903.5,6908,6901.5,6906.75,5168,6534,690,690,10.56014692
2025-10-28 5:00,6906.75,6908.25,6904,6904.75,3148,3688,-24,-24,-0.650759219
2025-10-28 5:30,6905,6908.25,6904,6907.25,2798,3264,240,240,7.352941176
2025-10-28 6:00,6907.25,6910.5,6906.75,6909.25,3622,4355,385,385,8.840413318
2025-10-28 6:30,6909.25,6909.5,6906,6907.5,2556,2990,90,90,3.010033445
2025-10-28 7:00,6907.5,6912.5,6907,6911.25,5482,7497,243,243,3.241296519
2025-10-28 7:30,6911.25,6914,6910.5,6912.5,5195,6884,254,254,3.689715282
2025-10-28 8:00,6912.75,6918.25,6912.25,6917.75,7916,10497,1263,1263,12.03200915
2025-10-28 8:30,6917.75,6918,6914.5,6916,6807,9232,-252,-252,-2.729636049
2025-10-28 9:00,6916.25,6927.5,6915.75,6925.75,25576,36289,2829,2829,7.795750778
2025-10-28 9:30,6925.75,6927.25,6906.75,6911.5,104790,137590,878,878,0.638127771
2025-10-28 10:00,6911.5,6916.75,6910,6916.5,52092,66092,-354,-354,-0.535617019
2025-10-28 10:30,6916.25,6919,6911,6913.75,49043,61578,-926,-926,-1.503783819
2025-10-28 11:00,6914,6917.5,6908.5,6910.25,34173,43703,-217,-217,-0.496533419
2025-10-28 11:30,6910.25,6911.25,6903,6911,43009,56867,-111,-111,-0.195192291
2025-10-28 12:00,6910.75,6917.5,6910.75,6917.25,37749,55259,2059,2059,3.726089868
2025-10-28 12:30,6917.25,6930,6916,6924.25,75078,104183,1719,1719,1.649981283
2025-10-28 13:00,6924.5,6929.25,6924,6925.75,42431,56404,14,14,0.024820935
2025-10-28 13:30,6925.75,6932.5,6924,6931.5,39830,55467,1899,1899,3.42365731
2025-10-28 14:00,6931.75,6939.75,6931,6936.25,37050,52654,1982,1982,3.764196452
2025-10-28 14:30,6936,6937.5,6933.25,6937,30737,43394,2134,2134,4.917730562
2025-10-28 15:00,6937,6944.75,6933.5,6942.5,39111,54567,1475,1475,2.703098943
2025-10-28 15:30,6942.5,6942.75,6924.25,6925.5,99618,164184,-2176,-2176,-1.325342299
2025-10-28 16:00,6925.5,6927.75,6921.5,6925.5,20642,39616,-2142,-2142,-5.4069063
2025-10-28 16:30,6925.75,6928,6924.75,6927.5,6814,12861,1047,1047,8.140891066
2025-10-28 18:00,6929.25,6931.25,6926.75,6930.5,1738,2364,-84,-84,-3.553299492
2025-10-28 18:30,6930.5,6931.5,6925.25,6926,1726,2182,-98,-98,-4.491292392
2025-10-28 19:00,6926,6929,6924.5,6926.5,1509,1810,16,16,0.883977901
2025-10-28 19:30,6926.5,6929,6926,6927.75,1187,1351,-97,-97,-7.179866765
2025-10-28 20:00,6928,6929.25,6924.75,6929,2439,2724,-196,-196,-7.195301028
2025-10-28 20:30,6929,6930.5,6924.5,6926,2630,3034,-378,-378,-12.45880026
2025-10-28 21:00,6925.75,6930.25,6925.5,6929.5,2094,2354,-86,-86,-3.65335599
2025-10-28 21:30,6929.5,6935,6927.5,6932.75,5617,7465,751,751,10.06028131
2025-10-28 22:00,6932.75,6938.5,6932.5,6937,3206,3711,61,61,1.643761789
2025-10-28 22:30,6937,6940,6936.25,6937.5,2540,3356,-10,-10,-0.297973778
2025-10-28 23:00,6937.75,6939.25,6936.5,6937.25,1657,2009,-229,-229,-11.39870582
2025-10-28 23:30,6937,6939,6934.5,6938,1709,2100,-58,-58,-2.761904762
2025-10-29 0:00,6938,6938,6933,6936.75,1755,2056,38,38,1.848249027
2025-10-29 0:30,6937,6939.25,6936.75,6938.75,988,1125,-37,-37,-3.288888889
2025-10-29 1:00,6938.5,6940.25,6938.5,6939.75,1761,2136,214,214,10.01872659
2025-10-29 1:30,6940,6941.25,6938.25,6940.5,1629,1975,41,41,2.075949367
2025-10-29 2:00,6940.5,6944,6939.5,6943,2941,3744,366,366,9.775641026
2025-10-29 2:30,6943,6944,6941.75,6943,2084,2638,62,62,2.350265353
2025-10-29 3:00,6943,6944.75,6939.5,6942.5,3784,4983,-133,-133,-2.669074855
2025-10-29 3:30,6942.5,6945.5,6941.75,6945,2978,3623,119,119,3.284570798
2025-10-29 4:00,6944.75,6949.25,6943.5,6943.5,6727,8329,435,435,5.222715812
2025-10-29 4:30,6943.5,6945.75,6935.75,6937.25,6057,7894,626,626,7.930073474
2025-10-29 5:00,6937.25,6937.75,6932,6932.25,5668,7371,-405,-405,-5.494505495
2025-10-29 5:30,6932.25,6936.5,6930.75,6935.75,5204,6766,-60,-60,-0.886786876
2025-10-29 6:00,6935.75,6940.5,6934.5,6939.5,4221,5408,176,176,3.25443787
2025-10-29 6:30,6939.75,6942.5,6938.5,6938.75,4431,5327,-167,-167,-3.13497278
2025-10-29 7:00,6938.5,6946.75,6936.75,6946,6030,8253,915,915,11.0868775
2025-10-29 7:30,6946,6948.5,6942.5,6943,6049,8525,169,169,1.982404692
2025-10-29 8:00,6943,6946,6940.5,6941,5338,6989,373,373,5.336958077
2025-10-29 8:30,6941.25,6943.5,6937.5,6942,6942,8762,188,188,2.145628852
2025-10-29 9:00,6942,6945.25,6941.5,6942,10968,15272,110,110,0.720272394
2025-10-29 9:30,6942,6951.75,6936.25,6950.75,78442,102936,5292,5292,5.141058522
2025-10-29 10:00,6950.75,6952,6938.75,6944.75,64148,83492,-2580,-2580,-3.090116418
2025-10-29 10:30,6944.5,6946,6932.5,6938,58214,74956,-1254,-1254,-1.672981482
2025-10-29 11:00,6938.25,6942.75,6935,6937.5,47967,62788,2542,2542,4.048544308
2025-10-29 11:30,6937.5,6938.25,6932.75,6934.75,48035,64975,-461,-461,-0.709503655
2025-10-29 12:00,6934.75,6940,6929.75,6939,47718,66610,434,434,0.651553821
2025-10-29 12:30,6939.25,6942.5,6937.5,6940,27598,38237,503,503,1.315479771
2025-10-29 13:00,6939.75,6942.5,6931.5,6933.75,28413,36575,-13,-13,-0.035543404
2025-10-29 13:30,6933.5,6940,6930.5,6935,27498,36838,2140,2140,5.809218742
2025-10-29 14:00,6935.5,6944.5,6927.75,6934.75,68059,81540,1510,1510,1.851851852
2025-10-29 14:30,6934.75,6942.5,6882.25,6914.75,218125,283138,-1638,-1638,-0.578516483
2025-10-29 15:00,6914.75,6923.5,6898.5,6908.25,90090,114231,-2113,-2113,-1.849760573
2025-10-29 15:30,6908.5,6928.75,6895,6928,124275,174216,3294,3294,1.890756303
2025-10-29 16:00,6928,6945.5,6905.5,6924.25,61945,83972,-1092,-1092,-1.300433478
2025-10-29 16:30,6924.25,6929.5,6917.5,6918,10156,13646,-626,-626,-4.587424886
2025-10-29 18:00,6906.5,6922.25,6902.5,6908,7347,9043,313,313,3.461240739
2025-10-29 18:30,6908.25,6916,6908.25,6913,2256,2628,16,16,0.608828006
2025-10-29 19:00,6912.75,6921.25,6910.75,6919.25,3029,3533,313,313,8.859326352
2025-10-29 19:30,6919.75,6924.75,6908.25,6922.25,4356,4988,-328,-328,-6.575781877
2025-10-29 20:00,6922.5,6936,6922.25,6934.5,5516,6513,473,473,7.26239828
2025-10-29 20:30,6934.75,6940,6930.25,6933,4245,4943,-75,-75,-1.517297188
2025-10-29 21:00,6933.25,6937.75,6926.25,6932.5,5168,6105,-353,-353,-5.782145782
2025-10-29 21:30,6932.5,6939.25,6929.25,6935.75,2996,3609,295,295,8.174009421
2025-10-29 22:00,6936,6948.75,6935.5,6945.75,5636,7209,299,299,4.147593286
2025-10-29 22:30,6945.75,6948.5,6942.25,6944.25,2692,3062,-10,-10,-0.326583932
2025-10-29 23:00,6944,6952,6944,6949.25,3785,4590,686,686,14.94553377
2025-10-29 23:30,6949,6953.75,6945.5,6948,4081,4992,-12,-12,-0.240384615
2025-10-30 0:00,6947.75,6949,6901,6905.5,19312,23639,-731,-731,-3.092347392
2025-10-30 0:30,6905.75,6938.25,6904.25,6914.25,27577,33755,719,719,2.130054807
2025-10-30 1:00,6914.25,6930.75,6912.25,6930.5,5600,6933,259,259,3.735756527
2025-10-30 1:30,6930.5,6939,6927,6929.75,5165,6004,-56,-56,-0.932711526
2025-10-30 2:00,6929.75,6930.25,6916,6917.75,5069,5989,-217,-217,-3.623309401
2025-10-30 2:30,6917.5,6926.75,6916.75,6919.25,4057,4868,76,76,1.561216105
2025-10-30 3:00,6919.5,6932.75,6911.75,6921.75,8113,10287,-265,-265,-2.576066881
2025-10-30 3:30,6921.75,6929.75,6921,6927.25,4193,5044,242,242,4.79777954
2025-10-30 4:00,6927,6929.5,6916,6921,7751,9360,-170,-170,-1.816239316
2025-10-30 4:30,6921.25,6926.25,6918,6922,3927,4690,-24,-24,-0.511727079
2025-10-30 5:00,6922,6925.75,6912.5,6916.25,5100,6526,70,70,1.072632547
2025-10-30 5:30,6916.25,6917.75,6905.75,6908.25,5478,6885,-407,-407,-5.911401598
2025-10-30 6:00,6908.5,6914,6906.75,6912.5,4648,5763,299,299,5.188269998
2025-10-30 6:30,6912.25,6920.25,6911,6918,5145,6344,336,336,5.296343001
2025-10-30 7:00,6918.25,6929,6916.5,6928,5348,6626,454,454,6.851795955
2025-10-30 7:30,6927.75,6929.75,6921,6921.75,6990,9533,-393,-393,-4.122521766
2025-10-30 8:00,6921.75,6924.75,6898,6901,18302,25768,-614,-614,-2.382800373
2025-10-30 8:30,6900.75,6907.25,6890.5,6891,27712,38854,34,34,0.087507078
2025-10-30 9:00,6890.75,6899,6887.75,6893,30173,40893,-1021,-1021,-2.496759837
2025-10-30 9:30,6893,6910.75,6867.75,6904.25,172851,213136,-2116,-2116,-0.992793334
2025-10-30 10:00,6904,6913.75,6886.25,6888.5,128082,155172,-3004,-3004,-1.935916274
2025-10-30 10:30,6888.5,6911.75,6888,6898.25,97445,117734,2738,2738,2.325581395
2025-10-30 11:00,6898.25,6909.5,6898,6902.25,56395,70842,1592,1592,2.247254454
2025-10-30 11:30,6902,6903.5,6883.75,6887.75,68679,90485,-2805,-2805,-3.09996132
2025-10-30 12:00,6887.75,6905.75,6886,6903.5,50775,63287,2315,2315,3.657939229
2025-10-30 12:30,6903.75,6903.75,6889.5,6898.25,46113,59597,-1743,-1743,-2.924643858
2025-10-30 13:00,6898.25,6900,6884,6898,51780,67762,-3910,-3910,-5.770195685
2025-10-30 13:30,6898,6900.5,6890,6898.25,37963,47645,-205,-205,-0.430265505
2025-10-30 14:00,6898,6898.25,6879.25,6883,52741,73326,1616,1616,2.203856749
2025-10-30 14:30,6883.25,6889,6875.25,6877.5,54709,72976,2488,2488,3.409340057
2025-10-30 15:00,6877.25,6878.25,6857,6866.5,76149,109431,-765,-765,-0.699070647
2025-10-30 15:30,6866.75,6874,6852.5,6853.75,115427,187254,-11316,-11316,-6.043128585
2025-10-30 16:00,6853.75,6880.75,6851,6877.5,38913,66353,2393,2393,3.606468434
2025-10-30 16:30,6877.25,6896.5,6860,6894,30877,47334,-5244,-5244,-11.0787172
2025-10-30 18:00,6897,6900,6892,6896.25,4876,6530,91,91,1.393568147
2025-10-30 18:30,6896.25,6897.75,6890.75,6893.25,2515,3079,-195,-195,-6.333225073
2025-10-30 19:00,6893.5,6896,6888.5,6891.75,3351,4137,-281,-281,-6.792361615
2025-10-30 19:30,6891.75,6899.25,6888,6898.5,3020,3885,829,829,21.33848134
2025-10-30 20:00,6898.75,6903,6889.25,6902.25,4908,5880,328,328,5.578231293
2025-10-30 20:30,6902,6903.25,6898.5,6901,3551,4210,196,196,4.655581948
